
-------------   Fold 1 / 5  -------------

    -> 8012 training images
    -> 2005 validation images
    -> 11904784 trainable parameters

Epoch 01/10 	 lr=4.7e-04	 t=432s	loss=154.233	helmet_f1_score=0.0547 	impact_f1_score=0.0000
Epoch 02/10 	 lr=4.2e-04	 t=478s	loss=0.732	helmet_f1_score=0.5293 	impact_f1_score=0.0540
Epoch 03/10 	 lr=3.7e-04	 t=484s	loss=0.469	helmet_f1_score=0.5841 	impact_f1_score=0.1437
Epoch 04/10 	 lr=3.2e-04	 t=489s	loss=0.394	helmet_f1_score=0.6268 	impact_f1_score=0.2453
Epoch 05/10 	 lr=2.6e-04	 t=488s	loss=0.346	helmet_f1_score=0.6353 	impact_f1_score=0.1762
Epoch 06/10 	 lr=2.1e-04	 t=491s	loss=0.304	helmet_f1_score=0.6697 	impact_f1_score=0.2091
Epoch 07/10 	 lr=1.6e-04	 t=491s	loss=0.267	helmet_f1_score=0.6756 	impact_f1_score=0.2012
Epoch 08/10 	 lr=1.1e-04	 t=488s	loss=0.233	helmet_f1_score=0.6755 	impact_f1_score=0.2605
Epoch 09/10 	 lr=5.3e-05	 t=492s	loss=0.200	helmet_f1_score=0.7009 	impact_f1_score=0.2314
Epoch 10/10 	 lr=0.0e+00	 t=491s	loss=0.171	helmet_f1_score=0.7015 	impact_f1_score=0.2501

 -> Saving weights to ../logs/2020-12-07/15/tf_efficientdet_d3_0.pt

