
-------------   Fold 1 / 5  -------------

    -> 8012 training images
    -> 2005 validation images
    -> 33424427 trainable parameters


Epoch 01/30 	 lr=3.3e-04	 t=1227s	loss=133.669	helmet_f1_score=0.4845 	impact_f1_score=0.0317
Epoch 02/30 	 lr=4.9e-04	 t=1249s	loss=0.545	helmet_f1_score=0.5260 	impact_f1_score=0.0598
Epoch 03/30 	 lr=4.7e-04	 t=1241s	loss=0.447	helmet_f1_score=0.6193 	impact_f1_score=0.0796
Epoch 04/30 	 lr=4.6e-04	 t=1249s	loss=0.387	helmet_f1_score=0.6389 	impact_f1_score=0.0960
Epoch 05/30 	 lr=4.4e-04	 t=1250s	loss=0.345	helmet_f1_score=0.6683 	impact_f1_score=0.0996
Epoch 06/30 	 lr=4.2e-04	 t=1252s	loss=0.312	helmet_f1_score=0.6699 	impact_f1_score=0.0901
Epoch 07/30 	 lr=4.0e-04	 t=1260s	loss=0.284	helmet_f1_score=0.6822 	impact_f1_score=0.0899
Epoch 08/30 	 lr=3.9e-04	 t=1254s	loss=0.261	helmet_f1_score=0.6942 	impact_f1_score=0.0900
Epoch 09/30 	 lr=3.7e-04	 t=1248s	loss=0.241	helmet_f1_score=0.6879 	impact_f1_score=0.1026
Epoch 10/30 	 lr=3.5e-04	 t=1255s	loss=0.224	helmet_f1_score=0.7041 	impact_f1_score=0.0971
Epoch 11/30 	 lr=3.3e-04	 t=1250s	loss=0.209	helmet_f1_score=0.7036 	impact_f1_score=0.0934
Epoch 12/30 	 lr=3.2e-04	 t=1247s	loss=0.197	helmet_f1_score=0.7082 	impact_f1_score=0.0974
Epoch 13/30 	 lr=3.0e-04	 t=1257s	loss=0.183	helmet_f1_score=0.7138 	impact_f1_score=0.0992
Epoch 14/30 	 lr=2.8e-04	 t=1245s	loss=0.173	helmet_f1_score=0.7178 	impact_f1_score=0.1009
Epoch 15/30 	 lr=2.6e-04	 t=1249s	loss=0.162	helmet_f1_score=0.7258 	impact_f1_score=0.1054
Epoch 16/30 	 lr=2.5e-04	 t=1253s	loss=0.152	helmet_f1_score=0.7320 	impact_f1_score=0.0969
Epoch 17/30 	 lr=2.3e-04	 t=1264s	loss=0.143	helmet_f1_score=0.7313 	impact_f1_score=0.0907
Epoch 18/30 	 lr=2.1e-04	 t=1255s	loss=0.134	helmet_f1_score=0.7406 	impact_f1_score=0.1036
Epoch 19/30 	 lr=1.9e-04	 t=1252s	loss=0.126	helmet_f1_score=0.7383 	impact_f1_score=0.1051
Epoch 20/30 	 lr=1.8e-04	 t=1256s	loss=0.118	helmet_f1_score=0.7439 	impact_f1_score=0.1074
Epoch 21/30 	 lr=1.6e-04	 t=1254s	loss=0.110	helmet_f1_score=0.7512 	impact_f1_score=0.1092
Epoch 22/30 	 lr=1.4e-04	 t=1252s	loss=0.103	helmet_f1_score=0.7518 	impact_f1_score=0.1111
Epoch 23/30 	 lr=1.2e-04	 t=1251s	loss=0.095	helmet_f1_score=0.7589 	impact_f1_score=0.1121
Epoch 24/30 	 lr=1.1e-04	 t=1259s	loss=0.088	helmet_f1_score=0.7555 	impact_f1_score=0.1111
Epoch 25/30 	 lr=8.8e-05	 t=1254s	loss=0.082	helmet_f1_score=0.7552 	impact_f1_score=0.1121
Epoch 26/30 	 lr=7.0e-05	 t=1264s	loss=0.075	helmet_f1_score=0.7545 	impact_f1_score=0.1097
Epoch 27/30 	 lr=5.3e-05	 t=1259s	loss=0.069	helmet_f1_score=0.7563 	impact_f1_score=0.1081
Epoch 28/30 	 lr=3.5e-05	 t=1258s	loss=0.063	helmet_f1_score=0.7583 	impact_f1_score=0.1150
Epoch 29/30 	 lr=1.8e-05	 t=1259s	loss=0.058	helmet_f1_score=0.7562 	impact_f1_score=0.1059
Epoch 30/30 	 lr=0.0e+00	 t=1261s	loss=0.054	helmet_f1_score=0.7598 	impact_f1_score=0.1102

 -> Saving weights to ../logs/2020-12-07/17/tf_efficientdet_d5_0.pt

