
-------------   Fold 1 / 5  -------------

    -> 8012 training images
    -> 2005 validation images
    -> 20545475 trainable parameters

Epoch 01/10 	 lr=9.5e-04	 t=660s	loss=78.048	impact_f1_score=0.0265
Epoch 02/10 	 lr=8.4e-04	 t=659s	loss=0.612	impact_f1_score=0.1054
Epoch 03/10 	 lr=7.4e-04	 t=659s	loss=0.552	impact_f1_score=0.1214
Epoch 04/10 	 lr=6.3e-04	 t=660s	loss=0.507	impact_f1_score=0.1118
Epoch 05/10 	 lr=5.3e-04	 t=661s	loss=0.471	impact_f1_score=0.1767
Epoch 06/10 	 lr=4.2e-04	 t=654s	loss=0.440	impact_f1_score=0.1767
Epoch 07/10 	 lr=3.2e-04	 t=660s	loss=0.409	impact_f1_score=0.1950
Epoch 08/10 	 lr=2.1e-04	 t=658s	loss=0.381	impact_f1_score=0.1857
Epoch 09/10 	 lr=1.1e-04	 t=661s	loss=0.355	impact_f1_score=0.1932
Epoch 10/10 	 lr=0.0e+00	 t=655s	loss=0.334	impact_f1_score=0.1858

 -> Saving weights to ../logs/2020-12-08/3/tf_efficientdet_d4_0.pt

