
-------------   Fold 1 / 5  -------------

Loaded pretrained weights for efficientnet-b3
    -> 154983 training images
    -> 38748 validation images
    -> 10703917 trainable parameters

Using 158 out of 1210 batches by limiting to 10 samples per player.

Epoch 01/20 	 lr=1.0e-03	 t=85s 	loss=0.973	val_loss=1.000 	 auc=0.745	 aucs_aux=[0.744, 0.728, 0.734, 0.926]
Epoch 02/20 	 lr=9.5e-04	 t=66s 	loss=0.656	val_loss=0.603 	 auc=0.810	 aucs_aux=[0.81, 0.819, 0.779, 0.946]
Epoch 03/20 	 lr=8.9e-04	 t=66s 	loss=0.642	val_loss=0.559 	 auc=0.846	 aucs_aux=[0.848, 0.85, 0.794, 0.996]
Epoch 04/20 	 lr=8.4e-04	 t=66s 	loss=0.624	val_loss=0.560 	 auc=0.847	 aucs_aux=[0.849, 0.855, 0.81, 0.882]
Epoch 05/20 	 lr=7.9e-04	 t=66s 	loss=0.614	val_loss=0.540 	 auc=0.854	 aucs_aux=[0.853, 0.858, 0.809, 0.995]
Epoch 06/20 	 lr=7.4e-04	 t=66s 	loss=0.611	val_loss=0.580 	 auc=0.857	 aucs_aux=[0.858, 0.865, 0.817, 0.996]
Epoch 07/20 	 lr=6.8e-04	 t=66s 	loss=0.600	val_loss=0.552 	 auc=0.862	 aucs_aux=[0.862, 0.868, 0.822, 0.994]
Epoch 08/20 	 lr=6.3e-04	 t=66s 	loss=0.590	val_loss=0.536 	 auc=0.869	 aucs_aux=[0.868, 0.874, 0.828, 0.993]
Epoch 09/20 	 lr=5.8e-04	 t=66s 	loss=0.570	val_loss=0.534 	 auc=0.875	 aucs_aux=[0.875, 0.881, 0.83, 0.995]
Epoch 10/20 	 lr=5.3e-04	 t=66s 	loss=0.573	val_loss=0.538 	 auc=0.867	 aucs_aux=[0.867, 0.874, 0.819, 0.973]
Epoch 11/20 	 lr=4.7e-04	 t=67s 	loss=0.571	val_loss=0.575 	 auc=0.878	 aucs_aux=[0.878, 0.881, 0.835, 0.996]
Epoch 12/20 	 lr=4.2e-04	 t=67s 	loss=0.558	val_loss=0.585 	 auc=0.870	 aucs_aux=[0.87, 0.874, 0.827, 0.992]
Epoch 13/20 	 lr=3.7e-04	 t=67s 	loss=0.543	val_loss=0.530 	 auc=0.873	 aucs_aux=[0.871, 0.88, 0.826, 0.998]
Epoch 14/20 	 lr=3.2e-04	 t=67s 	loss=0.537	val_loss=0.519 	 auc=0.890	 aucs_aux=[0.889, 0.893, 0.845, 0.999]
